2010.53,1762.04,3.06
2010.62,1766.01,1.41
2010.7,1766.15,1.39
2010.79,1765.39,1.11
2010.87,1761.84,1.68
2010.95,1754.51,3.4
2011.04,1745.18,3.35
2011.12,1739.85,1.01
2011.2,1742.55,2.23
2011.28,1749.91,1.82
2011.37,1753.85,4.13
2011.45,1758.24,2.22
2011.53,1765.24,2.82
2011.62,1770.4,1.28
2011.7,1773.09,1.24
2011.79,1772.39,1.4
2011.87,1766.98,2.58
2011.95,1757.94,2.87
2012.04,1749.31,2.26
2012.12,1744.05,2.09
2012.2,1743.82,1.81
2012.29,1750.03,2.73
2012.37,1757.53,2.09
2012.45,1763.82,2.07
2012.54,1770.31,2.45
2012.62,1775.59,1.76
2012.7,1778.02,1.33
2012.79,1776.49,1.36
2012.87,1772.05,2.05
2012.95,1763.72,3.37
2013.04,1752.52,2.74
2013.12,1747.32,0.88
2013.2,1748.43,1.22
2013.28,1753.15,2.02
2013.37,1761.48,2.97
2013.45,1769.98,2.1
2013.53,1775.05,1.4
2013.62,1779.28,1.35
2013.7,1781.78,0.58
2013.79,1779.73,1.4
2013.87,1774.06,2.12
2013.95,1765.92,2.83
2014.04,1756.68,2.48
2014.12,1752.17,0.74
2014.2,1754.82,1.74
2014.28,1761.12,2.19
2014.37,1769.44,2.96
2014.45,1779.47,2.96
2014.53,1787.31,1.87
2014.62,1791.45,1.09
2014.7,1792.83,0.43
2014.79,1791.53,1
2014.87,1786.99,1.89
2014.95,1779.34,2.71
2015.04,1770.49,2.42
2015.12,1765.62,0.75
2015.2,1767.49,1.59
2015.28,1773.71,2.2
2015.37,1781.23,2.47
2015.45,1789.15,2.34
2015.53,1795.96,1.93
2015.62,1800.62,1.28
2015.7,1802.61,0.63
2015.79,1801.38,1.01
2015.87,1796.59,2.05
2015.95,1788.52,2.89
2016.04,1779.2,2.57
2016.12,1774.04,0.86
2016.2,1775.48,1.44
2016.29,1780.43,1.86
2016.37,1787.53,2.59
2016.45,1796.04,2.37
2016.54,1801.96,1.44
2016.62,1805.26,1
2016.7,1807.16,0.72
2016.79,1805.56,1.32
2016.87,1799.24,2.52
2016.95,1789.8,3.12
2017.04,1780.53,2.37
2017.12,1776.23,0.72
2017.2,1777.69,1.36
2017.28,1782.84,2.05
